finger,usage,id,label,person,front,side
thumb,train,P/033_L_01,P,033,C:\Users\USER\Downloads\파일정리_cls\thumb\P\033_L_01_front_nail.jpg,C:\Users\USER\Downloads\파일정리_cls\thumb\P\033_L_01_side_nail.jpg
thumb,train,P/036_L_01,P,036,C:\Users\USER\Downloads\파일정리_cls\thumb\P\036_L_01_front_nail.jpg,C:\Users\USER\Downloads\파일정리_cls\thumb\P\036_L_01_side_nail.jpg
thumb,train,P/034_L_01,P,034,C:\Users\USER\Downloads\파일정리_cls\thumb\P\034_L_01_front_nail.jpg,C:\Users\USER\Downloads\파일정리_cls\thumb\P\034_L_01_side_nail.jpg
thumb,train,P/007_R_01,P,007,C:\Users\USER\Downloads\파일정리_cls\thumb\P\007_R_01_front_nail.jpg,C:\Users\USER\Downloads\파일정리_cls\thumb\P\007_R_01_side_nail.jpg
thumb,train,P/015_L_01,P,015,C:\Users\USER\Downloads\파일정리_cls\thumb\P\015_L_01_front_nail.jpg,C:\Users\USER\Downloads\파일정리_cls\thumb\P\015_L_01_side_nail.jpg
thumb,train,P/027_L_01,P,027,C:\Users\USER\Downloads\파일정리_cls\thumb\P\027_L_01_front_nail.jpg,C:\Users\USER\Downloads\파일정리_cls\thumb\P\027_L_01_side_nail.jpg
thumb,train,P/007_L_01,P,007,C:\Users\USER\Downloads\파일정리_cls\thumb\P\007_L_01_front_nail.jpg,C:\Users\USER\Downloads\파일정리_cls\thumb\P\007_L_01_side_nail.jpg
thumb,train,P/032_R_01,P,032,C:\Users\USER\Downloads\파일정리_cls\thumb\P\032_R_01_front_nail.jpg,C:\Users\USER\Downloads\파일정리_cls\thumb\P\032_R_01_side_nail.jpg
thumb,train,P/029_L_01,P,029,C:\Users\USER\Downloads\파일정리_cls\thumb\P\029_L_01_front_nail.jpg,C:\Users\USER\Downloads\파일정리_cls\thumb\P\029_L_01_side_nail.jpg
thumb,train,P/030_R_01,P,030,C:\Users\USER\Downloads\파일정리_cls\thumb\P\030_R_01_front_nail.jpg,C:\Users\USER\Downloads\파일정리_cls\thumb\P\030_R_01_side_nail.jpg
